text,category
העברת מידע לחברות חיצוניות,פיננסי
מתן הוראות ביצוע דוקומנטים לגביה יבוא,פיננסי
מתן הוראות ביצוע אשראי דוקומונטרי יבוא,פיננסי
ניהול מוטבים,פיננסי
דוח מוטבים ללקוח,פיננסי
הודאר שלי בסחר בינלאומי,פיננסי
פירוט פעילות כספית,פיננסי
מעקב אחר פעולות,פיננסי
תשלומי שבוצעו,פיננסי
תמורות שהתקבלו,פיננסי
הזמנת דוחות חד פעמיים,פיננסי
הזמנת דוחות שוטפים,פיננסי
צפייה בדוחות,פיננסי
ריכוז הוראות,פיננסי
חיפוש הוראות,פיננסי
תשלום עבור יבוא סחורות או שירותים שקיבלת מתושב חוץ בארץ ,פיננסי
העברת תשלום שאינו עבור סחורות/שירותים,פיננסי
הוראת קבע ,פיננסי
רשימת המוטבים,פיננסי
"בנק לאומי לישראל בע""מ",פיננסי
אנו מצהירים כי קיבלנו את הסכמת המוטב לביצוע ההעברה. אתם רשאים למסור למוטב את שמותינו ומספר חשבוננו.,פיננסי
"אם המוטב או הבנק שלו יורו לכם בכל עת שהיא להחזיר לנו את הסכום הנ""ל, תהיו רשאים לזכות את חשבוננו לפי הוראותיהם",פיננסי
"תהיו רשאים לזכות את חשבוננו בסכום הנ""ל בכל מקרה אחר שההעברה לא תסתיים בהצלחה",פיננסי
ביצוע הפעולה מותנה באישור הבנק ,פיננסי
לא קיימות הלוואות למספר לקוח זה,פיננסי
קיימות הלוואות למספר לקוח זה,פיננסי
ערבויות להבטחת הלוואות,פיננסי
לא קיימות הלוואות תחת חשבון זה ,פיננסי
פתיחת חשבון בנק ,פיננסי
שמות מורשים לפעול בחשבון מיופי כוח,פיננסי
מועד פתיחת חשבון,פיננסי
שווי סך כמות ניירות הערך המוחזקים לפי שער הסגירה נקבע ביום המסחר האחרון של השנה,פיננסי
הסך הכל וצג בשקלים לפי השער היציג ליום,פיננסי
מסגרות אשראי מנוצלות כרטיסי אשראי,פיננסי
היתרה מחושבת לפי ממוצע פשוט ,פיננסי
יתרה מצטברת שנתית חלקי חודשים בשנה,פיננסי
סוג מסגרת/תכנית/מסלול,פיננסי
סכום המסגרת,פיננסי
שיעור ריבית נומינלית,פיננסי
שיעור ריבית מתואמת,פיננסי
ריבית על יתרות זכות בחשבון,פיננסי
חושבו ללא הזיכויים שניתנו בחשבון בקשר עם הקלות ,פיננסי
האמור בדוח אינו כולל פעיחות בכרטיסי חיוב שאינם בנקאיםם,פיננסי
הריבית הנקובה במסמכי העסקה,פיננסי
בהתאם לחוק נתוני האשראי,פיננסי
תוקף המסגרת בכרטיס האשראי אינו מתייחס לתקופה של מסגרת חד צדדית שהועמדה אם יש כזו,פיננסי
סוג חשבון,פיננסי
מעביר משכורת,פיננסי
"יתרת עו""ש ליום דוח החשבון",פיננסי
מסגרת אשראי בחשבון עובר ושב ,פיננסי
המוסדות שהעבירו זיכויים לחשבון במהלך תקופת הדוח,פיננסי
מועד זיכוי אחרון לתקופת הדוח,פיננסי
חיובים על פי הרשאה,פיננסי
פירוט דמי ניהול ניירות ערך ישראלים וזרים שנגבו מחשבונך במהלך החודשים,פיננסי
מספר כרטיס החיוב ,פיננסי
שם מחזיק הכרטיס,פיננסי
סוג כרטיס החיוב,פיננסי
ארבע ספרות אחרונות של הכרטיס,פיננסי
החשבון שלך נמצא במינוס,פיננסי
הגעת לגבול מסגרת האשראי שלך.,פיננסי
היתרה בחשבון לא מאפשרת ביצוע העברה,פיננסי
ביצעת העברה לשיעורין,פיננסי
החזר הלוואה בוצע בהצלחה,פיננסי
לחשבון שלך לא הוזן סך מינימלי לצורך ביצוע פעולה.,פיננסי
"נכון להיום, יתרת האשראי שלך עומדת על",פיננסי
שלחה אליך קבלה על העסקה שביצעת,פיננסי
ההפקדה בוצעה בהצלחה,פיננסי
"לנוחיותך, אנו מציעים שירות חיבור לחשבון בבנק.",פיננסי
אנו מעדכנים אותך על מצב החשבון שלך,פיננסי
החשבון שלך נמצא בעיקול,פיננסי
"החוב שלך לא שולם בזמן, אנא עדכן את פרטי התשלום",פיננסי
העסקה בוצעה בהצלחה לאחר בדיקה,פיננסי
הוראתך נרשמה בהצלחה,פיננסי
שם המעביר,פיננסי
לביצוע העברה נוספת,פיננסי
למעקב וצפייה בסטאטוס הוראתך צפה בפירוט/ביטול הוראות,פיננסי
אישור הלקוח,פיננסי
אישור הבנק,פיננסי
אתר המשכנתא החדש של בנק,פיננסי
יועצי המשכנתאות שלנו,פיננסי
שוק ההון,פיננסי
מסחר וכלים בקרנות נאמנות,פיננסי
אישורי מס לשנת,פיננסי
חשבון יחיד,פיננסי
חשבון משותף לרבות תאגידים אשר בו תהיה הרשאת חתימה ,פיננסי
חשבון קטין,פיננסי
חשבון נאמנות,פיננסי
בקשה לפתיחת חשבון,פיננסי
דוח על המצב הכספי מאזן,פיננסי
דוח על הרווח הכולל,פיננסי
דוח רווח והפסד,פיננסי
דוח על השינויים בהון עצמי,פיננסי
דוח על תזרימי המזומנים,פיננסי
כוללים הדוחות הכספיים גם ביאורים לדוחות הכספיים המהווים חלק בלתי נפרד מהדוחות.,פיננסי
חברות שמניותיהן נסחרות בבורסה לניירות ערך נבחנות על ידי המשקיעים על פי הדוחות הכספיים הרבעוניים והשנתיים שלהן,פיננסי
" חברות פרטיות שאינן נסחרות בבורסה מסתפקות בדרך כלל בדוחות שנתיים בלבד. הדוחות משמשים את המשקיעים ואת המלווים (בנקים, ספקים וגופים אחרים) כחלק משיקולי מתן ההלוואה/ אשראי או ביצוע השקעה וכן את הרשויות ממשלתיות בקביעת המיסים, עמידה בהוראות רגולטוריות, מכרזים ועוד.",פיננסי
בפתח הדוחות הכספיים מוצגת חוות דעת או דוח סקירה של רואה חשבון המבקר. לרוב חוות הדעת היא בנוסח סטנדרטי וסטייה ממנו היא נורת אזהרה לקורא הדוחות הכספיים.,פיננסי
"דוח על מצב הנכסים, ההתחייבויות וההון העצמי של החברה לסוף התקופה החשבונאית.",פיננסי
דוח על השינויים בהון העצמי במהלך התקופה החשבונאית.,פיננסי
התוצאות הכספיות של החברה (הרווח או ההפסד) עבור מהלך התקופה החשבונאית.,פיננסי
"דוח על תנועת המזומנים במהלך התקופה החשבונאית, בדגש על פעילות שוטפת, השקעה ומימון.",פיננסי
"בחשבונאות, דוחות כספיים הם דוחות המתארים את מצבה הפיננסי של ישות חשבונאית, והם מופקים בסוף כל תקופה חשבונאית (לרוב שנת כספים, חצי שנה או רבעון).",פיננסי
נכסים בלתי מוחשיים,פיננסי
נכסי מסים נדחים,פיננסי
הוצאות רכישה נדחות,פיננסי
הוצאות רכישה נדחות,פיננסי
נכסי ביטוח משנה,פיננסי
נכסי מסים שוטפים,פיננסי
חייבים ויתרות חובה,פיננסי
השקעות פיננסיות,פיננסי
סך כל השקעות פיננסיות ,פיננסי
מזומנים ושווי מזומנים,פיננסי
הון מניות,פיננסי
פרמיה על מניות,פיננסי
התחייבויות בגין חוזי ביטוח ,פיננסי
סך כל ההון וההתחייבויות,פיננסי
דוחות רווח והפסד ביניים,פיננסי
"תשלומים ושינוי בהתחייבויות בגין חוזי ביטוח, ברוטו",פיננסי
"חלקם של מבטחי המשנה בתשלומים ובשינוי בהתחייבויות
בגין חוזי ביטוח",פיננסי
"עמלות, הוצאות שיווק והוצאות רכישה אחרות",פיננסי
הוצאות הנהלה וכלליות,פיננסי
דוחות על הרווח הכולל ביניים,פיננסי
התאמות הדרושות להצגת תזרימי מזומנים מפעילות שוטפת:,פיננסי
הפרשי שער בגין יתרות מזומנים ושווי מזומנים,פיננסי
שינוי בהתחייבויות בגין חוזי ביטוח,פיננסי
סך ההתאמות הדרושות להצגת תזרימי מזומנים מפעילות שוטפת,פיננסי
"תזרימי המזומנים מפעילות שוטפת כוללים רכישות ומכירות נטו של השקעות פיננסיות, הנובעים מהפעילות
בגין חוזי ביטוח.",פיננסי
 דוחות כספיים אלה נערכו במתכונת מתומצתת,פיננסי
"הדוחות הכספיים ביניים ערוכים בהתאם לתקן חשבונאות בינלאומי ובהתאם לדרישות הגילוי שנקבעו על ידי הממונה על שוק ההון, ביטוח וחיסכון בהתאם לחוק הפיקוח על
שירותים פיננסיים",פיננסי
"בעריכת תמצית הדוחות הכספיים בהתאם לתקני דיווח כספי בינלאומיים IFRS, נדרשת הנהלת החברה
להשתמש בשיקול דעת בהערכות, אומדנים והנחות אשר משפיעים על יישום המדיניות ועל הסכומים של
נכסים והתחייבויות, הכנסות והוצאות. יובהר שהתוצאות בפועל עלולות להיות שונות מאומדנים אלה.",פיננסי
"שיקול הדעת של ההנהלה, בעת יישום המדיניות החשבונאית של החברה וההנחות העיקריות ששימשו
בהערכות הכרוכות באי וודאות, הינם עקביים עם אלו ששימשו בדוחות הכספיים השנתיים.",פיננסי
"המדיניות החשבונאית אשר יושמה בעריכת הדוחות הכספיים ביניים עקבית לזו שיושמה בעריכת הדוחות
הכספיים השנתיים.",פיננסי
החברה פועלת במגזר ביטוח כללי הכולל את ענפי ביטוח אשראי וביטוח סיכוני סחר חוץ.,פיננסי
"בביטוח סיכוני סחר חוץ החברה מספקת ביטוח לספק בפני אי תשלום של הקונה כתוצאה מקושי כלכלי, הנחלק
לשני סוגים של סיכונים: סיכונים מסחריים וסיכונים פוליטיים. בביטוח אשראי בשוק המקומי, החברה מספקת
ביטוח בפני סיכונים מסחריים בלבד.",פיננסי
פרמיות שהורווחו ברוטו,פיננסי
פרמיות שהורווחו על ידי מבטחי משנה,פיננסי
"רווחים מהשקעות, נטו והכנסות מימון",פיננסי
"תשלומים ושינוי בהתחייבויות בגין חוזי ביטוח, ברוטו",פיננסי
הוצאות שיווק והוצאות רכישה אחרות,פיננסי
הפסד כולל אחר לפני מסים על ההכנסה,פיננסי
סך כל הרווח הכולל לפני מסים על ההכנסה,פיננסי
סך כל ההכנסות,פיננסי
"ניתוח של הנכסים המוחזקים כנגד חוזי ביטוח וחוזי השקעה המוצגים בשווי הוגן דרך
רווח והפסד. הרמות השונות הוגדרו באופן הבא:",פיננסי
"השווי ההוגן של השקעות הנסחרות באופן פעיל בשווקים פיננסים מוסדרים נקבע על ידי מחירי השוק
בתאריך הדיווח.",פיננסי
בגין השקעות שלהן אין שוק פעיל. השווי ההוגן נקבע באמצעות שימוש בשיטות הערכה.,פיננסי
"שיטות אלו כוללות התבססות על עסקאות שבוצעו לאחרונה בתנאי שוק, התייחסות לשווי השוק הנוכחי של
מכשיר אחר דומה במהותו, היוון תזרימי מזומנים או שיטות הערכה אחרות.",פיננסי
"השווי ההוגן של נכסי חוב שאינם סחירים הנמדדים בשווי הוגן דרך רווח והפסד וכן של נכסי חוב פיננסים
שאינם סחירים אשר מידע לגבי השווי ההוגן ניתן לצרכי באור בלבד נקבעים באמצעות היוון אומדן תזרימי
המזומנים הצפויים בגינם.",פיננסי
"שערי ההיוון מתבססים בעיקרם על התשואות של אגרות חוב ממשלתיות
והמרווחים של אגרות חוב קונצרני כפי שנמדדו בבורסה לניירות ערך בתל אביב.",פיננסי
"ציטוטי המחירים ושיעורי
הריבית ששימשו להיוון נקבעים על ידי חברה שזכתה במכרז, שפורסם על ידי משרד האוצר, להקמה ולתפעול
של מאגר ציטוטי מחירים ושערי ריבית לגופים מוסדיים.",פיננסי
"מדיניות החברה היא להחזיק בסיס הון איתן במטרה להבטחת כושר הפרעון שלה ויכולתה לעמוד
בהתחייבויותיה למבוטחים,",פיננסי
"לשמר את יכולת החברה להמשיך את פעילותה העסקית וכדי שתוכל להניב
תשואה לבעלי מניותיה.",פיננסי
"החברה שהינה גוף מוסדי, כפופה לדרישות הון הנקבעות על-ידי הממונה על שוק
ההון, ביטוח וחסכון ",פיננסי
"יחס כושר פירעון מבוסס סיכון מחושב כיחס שבין ההון העצמי הכלכלי של חברת הביטוח לבין ההון הנדרש
לכושר פירעון.",פיננסי
הגדלת ההון הכלכלי באמצעות ניכוי מעתודות הביטוח של סכום המחושב בהתאם לחוזר סולבנסי,פיננסי
 השקעות פיננסיות סחירות,פיננסי
סך הכל השקעות פיננסיות אחרות,פיננסי
והלווה ביקש מהמלווה להעמיד לרשותו הלוואה כספית,פיננסי
והערב הסכים לערוב לכל התחייבויות הלווה כלפי המלווה על פי הסכם זה;,פיננסי
"והמלווה הסכים להעמיד לרשות הלווה את ההלוואה המבוקשת בתנאים וכנגד
הביטחונות והערבויות כמפורט בהסכם זה להלן",פיננסי
המלווה יעמיד ללווה הלוואה בסך ,פיננסי
" ההלוואה תועבר לידי הלווה תוך ימים ממועד חתימת הסכם זה ורישום כל
הביטחונות, כאמור בהסכם זה.",פיננסי
"הצדדים מסכימים בזאת כי יהיו חופשיים לשנות את
מועדי החזר ההלוואה בהסכמה בכתב",פיננסי
 כל אחד מהתשלומים יהיה בסך של ,פיננסי
על כל תשלום שבפיגור תחול ריבית פיגורים בשיעור הנהוג בבנק ,פיננסי
"לגבי משיכות יתר לא מאושרות של לקוחות פרטיים,",פיננסי
"הלווה אינו תיקן הפרה שנבעה מן ההסכם בתוך חמישה ימים מיום שנדרש
לתקנה ע""י המלווה או מי מטעמו",פיננסי
"הלווה הוכרז כפושט רגל, ננקטו נגדו הליכי פשיטת רגל, הוכרז פסול דין או נפטר.",פיננסי
עיקול שהוטל על נכסי הלווה אינו הוסר בתוך שבעה ימים מיום ההטלה.,פיננסי
"הלווה הביא למצב או שכתוצאה ממצב דברים כלשהו, נפגעה יכולתו הממשית
לקיים את התחייבויותיו על פי הסכם זה",פיננסי
"למלווה יש חשש ממשי כי אחת הבטוחות שקיבל או עשוי לקבל מן הלווה עשויה
לאבד מערכה וכתוצאה מכך עשויה להיווצר אפשרות סבירה כי הבטוחה לא
תספיק לפירעון החוב הנותר",פיננסי
"יתהווה מצב עניינים אשר כתוצאה ממנו יחשוש המלווה באופן סביר כי הערב
אינו יכול לעמוד בהתחייבויותיו על פי הסכם זה.",פיננסי
הלווה מפגר בשני תשלומים או יותר.,פיננסי
"יהיה המלווה רשאי לפי
שיקול דעתו לנקוט מיד בכל הצעדים שימצא לנכון לשם מימוש הביטחונות,",פיננסי
"כולן או
חלקן, וזאת להבטחת פירעון כל או חלק מיתרת ההלוואה, בכל אופן שימצא לנכון
ומועיל לפי שיקול דעתו הבלעדי.",פיננסי
"המלווה יוכל לנקוט בצעדים למימוש הבטוחה שניתנה בגין הנכס כמפורט להלן, וכן
יהיה זכאי לקבל את זכויות הלווה בנכס במלואן או בחלקן במקרה של הפרת הסכם זה. ",פיננסי
"מובהר בזאת כי המלווה יהיה חייב להשיב ללווה את הפרשים שבין מחיר הנכס בעת
מימוש הביטחונות, לבין גובה יתרת ההלוואה שתהא באותה עת, בניכוי הוצאות המלווה
בגין מימוש הביטחונות.",פיננסי
והצדדים להסכם זה מעוניינים שהמשקיע ישקיע בחברה כאמור בהסכם זה;,פיננסי
נא לחייב את חשבוני בהתאם לפרטים שלהלן:,פיננסי
סימול בנק ישראל:,פיננסי
פרטי חשבון המעביר,פיננסי
כתובת ראשית בחשבון ,פיננסי
שם בנק,פיננסי
מס' הבנק,פיננסי
מס' הסניף,פיננסי
כתובת הבנק,פיננסי
מס' חשבון המוטב,פיננסי
שן המוטב,פיננסי
כתובת המוטב,פיננסי
"אנו מסכימים כי קיימת חובת ניכוי מס במקור בשיעור של עשרים וחמישה אחוזים  מתשלומים לתושבי חוץ או בהתאם לאמנת מס עם המדינה אליה
מבוצעת ההעברה ונותנים בזאת לבנק הוראה והרשאה בלתי חוזרת לחייב את חשבוננו בסכום המס, ככל שחלה עלינו חבות כולל
חבות מע""מ ככל שתחול כאמור בסעיף זה לעיל ולהלן.",פיננסי
האם הלקוח פטור מתשלום מס,פיננסי
בוצע תשלום קודם למקבל בשנת המס,פיננסי
"עמלת העברת מטבע חוץ ושקלים לחו""ל ומחו""ל",פיננסי
"עמלת העברת מטבע חוץ בארץ ומבנק אחר בארץ, לחשבון או מחשבון אותו לקוח",פיננסי
"העברת מטבע חוץ לחשבון אותו לקוח בעת סגירת חשבון, לא תעלה על",פיננסי
עמלת העברת מטבע חוץ ומבנק אחר בארץ – העברה אחרת,פיננסי
עמלות נוספות ואופן גביית עמלת כתב לבחירת הלקוח,פיננסי
"עבר לעמלות שגובה הבנק, העברת כספים מחוץ למדינת ישרא",פיננסי
" כרוכה בשירות הניתן על ידי בנקים זרים, כמו בנקים קורספונדנטים/כתבים, בנקים מקשרים/מתווכים",פיננסי
"בנקים אלו, כמו גם הבנק של המוטב, עשויים לגבות עמלות בגין השירות
אותו הם מספקים",פיננסי
"סכומי העמלות של הבנקים הזרים והבנק של המוטב אינם אחידים, והם עשויים להיגבות מהלקוח ו/או מהמוטב. ",פיננסי
"כמו כן, תשלום העמלות לבנקים הזרים עשוי להתבצע באמצעות ניכוי סכום העמלה ישירות מהכספים המועברים ע""י הלקוח למוטב, כך
שייתכן שאצל המוטב לא תתקבל ההעברה בסכומה המקורי והמלא. ",פיננסי
" יובהר כי גובה העמלות עשוי להשתנות בהתאם לאופן תשלום העמלה בה בחר הלקוח וכי עשויים לחול שינויים נוספים
בהתאם לחקיקה זרה שייתכן שתחול בעניין. ",פיננסי
"אין ביכולתו של הבנק לספק כל מידע ודאי בנוגע לסכומי העמלות שייגבו על ידי הבנקים
הזרים ובנק המוטב, וכן בנוגע למועד בו יתקבלו הכספים בחשבון המוטב וזאת בשל מעורבות של צדדים שלישיים בחו""ל בביצוע
העברת הכספים.",פיננסי
"מועד קבלת הכספים אצל המוטב, גביית עמלות על ידי הבנקים הזרים ובנק המוטב",פיננסי
"וכן ניכויי עמלות מסכום הכספים המועבר, אינם בשליטת הבנק והבנק לא יהיה אחראי בשל כך.",פיננסי
"הלקוחות הח""מ מאשרים ומסכימים כי במקרה בו הוצאות הקורספונדנטים/כתב הינן על חשבון המעביר, יחויב חשבוננו
אצלכם בעמלות הבנקים הקורספונדנטים/הכתב בהתאם לתעריפון הנהוג אצלם ולפי חיוב בפועל, ואנו נותנים בזאת הוראה
והרשאה בלתי חוזרת לבנק לחייב את חשבוננו בהוצאות ועמלות הבנקים הקורספונדנטים/הכתב כאמור בסעיף זה.",פיננסי
"בבחירת חלופה זו המעביר ישלם את כל העמלות, הן של הבנק, והן של הבנקים הזרים והבנק של המוטב. ",פיננסי
"בחלופה זו צפוי כי
המוטב יקבל את הסכום המקורי שהועבר אליו, מבלי שיושתו על המוטב עמלות נוספות,",פיננסי
אנו מסכימים כי כל הוראה או פעולה על פי בקשתנו זו תבוצע על ידי הבנק בהתאם ובכפוף להוראות ההסכם לפתיחת חשבון.,פיננסי
"הסדרים כלליים ונוהגים בינלאומיים מקובלים בין הבנקים ובמסחר בינלאומי, וכפי שיחייבו את הבנק לפי שיקול דעתו, הכל על
חשבוננו ואחריותנו בלבד. בכפוף לאחריות החלה על הבנק על פי דין, הננו מצהירים ומתחייבים בזה כי לא תהיה לנו כל טענה ו/או
דרישה ו/או תביעה בקשר לכך, אלא אם כן נגרם לנו נזק כתוצאה מרשלנות של הבנק.",פיננסי
" אנו מסכימים כי כל הוראה או פעולה על פי בקשתנו זו תבוצע על ידי הבנק בהתאם ובכפוף להוראות ההסכם לפתיחת חשבון, לרבות
הפרק הדן בחשבונות במטבע חוץ, וכן בכפוף לנהלים ולכללים כפי שנהוג ומקובל בבנק מעת לעת ובכפוף לכל דין. ",פיננסי
"בכפוף לאחריות החלה על הבנק על פי דין, אנו מתחייבים כי בכל מקרה של הוראה להעברה אנו פוטרים את הבנק, פקידיו, עובדיו,
שליחיו, כתביו, ושליחיהם מכל אחריות לביצוע הפעולות או ההוראות בין אם תתבצענה במלואן או בחלקן באיחור ובין אם לא תתבצענה
כלל מכל סיבה שאינה בשליטת הבנק לרבות חדלות פירעון או פשיטת רגלו של כתב הבנק או שליחיו, אלא אם כן ייגרם לנו נזק
כתוצאה מרשלנות הבנק. ",פיננסי
"הבנק לא יהיה אחראי להפסד ו/או נזק העלולים להיגרם לנו בשל דינים , נוהגים ונהלים הקשורים לסנקציות ו/או מגבלות המוטלות על
ידי כל רשות רלבנטית בארץ ו/או בחו""ל לרבות המשרד לנכסים זרים בארה""ב ו/או נוהגים ונהלים הקשורים להלבנת הון ו/או הפיקוח על
מטבע זר ו/או איסור מימון טרור בארץ ו/או בחו""ל ",פיננסי
"אנו מתחייבים לשפות את הבנק בגין כל התחייבות ו/או חבות כלשהי המוטלת ו/או
שתוטל על ידי חוקים, דינים ונהלים בארץ ו/או בחו""ל בקשר עם הוראותינו להעברות במט""ח ובמט""י ",פיננסי
"הבנק לא יהיה אחראי אם תתעורר בעיה כלשהיא בביצוע ההעברה, אשר קשורה לפרטי המעביר או המוטב, כפי שצוינו על ידינו ואנו
מסכימים כי על פי חקיקה במדינות שונות, בכל מקרה של אי התאמה בין מספר החשבון לבין שם החשבון בהוראה להעברת כספים,
1
תטופל ההוראה לפי מספר החשבון בלבד, ואנו נושאים באחריות המלאה ",פיננסי
"כל העברת מט""ח לחו""ל כפופה לדיני מדינת ישראל ומדינת היעד או המדינה המנפיקה את המט""ח ואשר באמצעותה מתבצעת
ההעברה. לפיכך, יתכנו פערי זמן בין מועד חיוב חשבוננו בגין ההעברה לבין מועד זיכוי חשבון המוטב. ",פיננסי
 הריבית על ההלוואה צמודה למדד המחירים לצרכן ותחושב מחדש בכל רבעון.,פיננסי
חשבון העובר ושב שלך חרג ממסגרת האשראי המאושרת על ידי הבנק.,פיננסי
קרן הפנסיה שלך מושקעת במסלול מנייתי עם פיזור סיכונים רחב.,פיננסי
"על פי תקנות המס החדשות, יש לדווח על הכנסות משכר דירה מעל חמשת אלפים ₪",פיננסי
דוח הרווח וההפסד מציג עלייה של שנים עשר אחוזים בהכנסות לעומת השנה הקודמת.,פיננסי
"תנאי הביטוח כוללים סעיף השתתפות עצמית בגובה חמש מאות ש""ח במקרה של תביעה.",פיננסי
תשלומי המשכנתא יבוצעו בהוראת קבע מחשבון הבנק בכל הראשון לחודש.,פיננסי
הבנק מציע הלוואה בריבית קבועה של שלושה וחצי אחוזים עם אפשרות לפרעון מוקדם ללא קנס.,פיננסי
"חברת ההשקעות ממליצה לפזר את התיק בין מניות, אג""ח וקופות גמל להשקעה.",פיננסי
"הכרטיס יחויב אוטומטית בכל חמישה עשר לחודש, בהתאם למסגרת האשראי המאושרת.",פיננסי
ההעברה הבנקאית תתבצע תוך שני ימי עסקים מרגע אישור העסקה.,פיננסי
"החברה תחלק דיבידנד בסך שני ש""ח למניה לכל בעלי המניות הרשומים בתאריך הקובע.",פיננסי
עדכון מסגרת אשראי,פיננסי
לחדש את הביטוח,תחבורה
ביטוח רכב,תחבורה
מספר רכב עדכני,תחבורה
התשלום עבור רישיון רכב בוצע בהצלחה,תחבורה
אגרת רישיון רכב משרד התחבורה,תחבורה
קובץ של רישיון הרכב המשולחם מצורף לדואר אלקטרוני זה,תחבורה
באפשרותך לגשת למכון הרישוי ולבצע מבחן כשירות תנועה שנתי ,תחבורה
למבחם כשירות התנועה טסט יש להגיע עם הרישיון שבידכם לאחר ששולחם או עם הדפסת הרישיון המשולם המתקבל בתום הליך התשלום,תחבורה
יש להגיע עם תעודת זהות של בערב הרכב וייפוי כוח ועם תעודת ביטוח חובה בתוקף,תחבורה
אגרת חידוש רישיון הרכב,תחבורה
בהתאם לתקנות התעבורה אין חובה לשאית רישיון רכב ורישיון נהיגה בעת הנסיעה,תחבורה
בתוקף עד,תחבורה
נסיעה,תחבורה
חלה חובה לשאת תעודה מזהה רשמית ומסמכים נוספים,תחבורה
מיד לאחר התשלום ניתן לגשת לבצע מבחן כשירות תנועה,תחבורה
טסט שנתי,תחבורה
רישיון הרכב תקף רק לאחר התשלום האגרה ועמידה במבחן כשירות תנועה,תחבורה
תעודת ביטוח חובה ,תחבורה
שם בעל הפוליסה,תחבורה
מספר הרישוי של הרכב,תחבורה
מועד תחילת הביטוח,תחבורה
המידע המופיע בתעודה זו הינו מידע שנמסר לנו על ידך בעת עריכת הביטוח,תחבורה
ברכב קיימת מערכת התרעה על אי שמירת מרחק,תחבורה
ברכב קיימת מערכת התרעה על סטייה מהנתיב,תחבורה
גיל הנהג הצעיר ביותר הצפוי לנהוג ברכב,תחבורה
מין האדם הצעיר ביותר הצפוי לנהוג ברכב הוא,תחבורה
שנת קבלת רישיון הנהיגה לרכב מסוג זה בישראל של הנהג הצעיר ביותר הצפוי לנהוג,תחבורה
מספר התאונות שהביאו לתביעות בביטוח רכב חובה בשלוש שנים האחרונות של כל הנהגים הצפויים לנהוג ברכב,תחבורה
מספר פסילות רישיון בשלוש השנים האחרונות של כל הנהגים הצפויים לנהוג ברכב הוא,תחבורה
מטרות השימות המותרות,תחבורה
בני האדם המורשים לנהוג ברכב ,תחבורה
כינוי מסחרי,תחבורה
"הספק כ""ס",תחבורה
רמת גימור,תחבורה
הוראת רישום,תחבורה
קוד,תחבורה
קבוצת רישוי,תחבורה
תוצר,תחבורה
דגם,תחבורה
בעלים נוספים,תחבורה
דרגת זיהום אוויר ,תחבורה
מקומות ישיבה למעט הנהג,תחבורה
תאריך רישום,תחבורה
רישום מקורי,תחבורה
